[2025-05-01 20:04:29.296] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":27}
[2025-05-01 20:04:29.296] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":27}
[2025-05-01 20:04:29.333] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":28}
[2025-05-01 20:04:29.333] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":28}
[2025-05-01 20:04:29.398] [info]  Splash.updateCountdownSeconds: undefined
[2025-05-01 20:04:29.413] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":29}
[2025-05-01 20:04:29.414] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":29}
[2025-05-01 20:04:29.453] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":30}
[2025-05-01 20:04:29.453] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":30}
[2025-05-01 20:04:29.510] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":31}
[2025-05-01 20:04:29.511] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":31}
[2025-05-01 20:04:29.550] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":32}
[2025-05-01 20:04:29.551] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":32}
[2025-05-01 20:04:29.593] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":33}
[2025-05-01 20:04:29.594] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":33}
[2025-05-01 20:04:29.651] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":34}
[2025-05-01 20:04:29.652] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":34}
[2025-05-01 20:04:29.695] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":35}
[2025-05-01 20:04:29.696] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":35}
[2025-05-01 20:04:29.758] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":36}
[2025-05-01 20:04:29.762] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":36}
[2025-05-01 20:04:29.791] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":37}
[2025-05-01 20:04:29.792] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":37}
[2025-05-01 20:04:29.824] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":38}
[2025-05-01 20:04:29.825] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":38}
[2025-05-01 20:04:29.887] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":39}
[2025-05-01 20:04:29.887] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":39}
[2025-05-01 20:04:29.913] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":40}
[2025-05-01 20:04:29.913] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":40}
[2025-05-01 20:04:29.969] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":41}
[2025-05-01 20:04:29.970] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":41}
[2025-05-01 20:04:30.001] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":42}
[2025-05-01 20:04:30.003] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":42}
[2025-05-01 20:04:30.032] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":43}
[2025-05-01 20:04:30.033] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":43}
[2025-05-01 20:04:30.096] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":44}
[2025-05-01 20:04:30.097] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":44}
[2025-05-01 20:04:30.148] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":45}
[2025-05-01 20:04:30.148] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":45}
[2025-05-01 20:04:30.182] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":46}
[2025-05-01 20:04:30.182] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":46}
[2025-05-01 20:04:30.214] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":47}
[2025-05-01 20:04:30.214] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":47}
[2025-05-01 20:04:30.262] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":48}
[2025-05-01 20:04:30.263] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":48}
[2025-05-01 20:04:30.291] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":49}
[2025-05-01 20:04:30.293] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":49}
[2025-05-01 20:04:30.315] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":50}
[2025-05-01 20:04:30.318] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":50}
[2025-05-01 20:04:30.370] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":51}
[2025-05-01 20:04:30.378] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":51}
[2025-05-01 20:04:30.397] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":52}
[2025-05-01 20:04:30.397] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":52}
[2025-05-01 20:04:30.398] [info]  Splash.updateCountdownSeconds: undefined
